user_id,count
1690369505260322,106489
1679986561050280,65933
1735116464916008977,12824
1685496812504582,206351
1686626603229907,30468
1690178242204636,1306160
1686562530044892,9009
1680669511044729,173768
1686054727420351,606810
1683781449101079,6761
1696754214658521,37575
1684933025658607,4461881
1689914063944788,5263033
1687158641265308,126975
1681880416578097,783861
1690794869796772,169742
1692342017788533,100367
1680775562944455,876
1693539154676324,56932
1729339214534807747,3867
1735116464916008973,104
1698738107271460,275854
1693554911231723,166119
1696686281232100,3812
1692777934691105,98127
1693395018059547,860235
1681180518319576,47170
1695918648735799,2183
1729339214530613261,152281
1679882226650184,5169
1692614170292206,60031
1699269192924991,8587710
1729339214534808258,1147
1691042429480431,38228
1729339214534807888,1465
1688618267644873,1024
1695398856209713,132
1690536709939485,67
1735116464916009747,3
1698634352370552,570
1683702099423943,1038
1735365593646764682,4
1679712674927664,20
1679646566246992,2778
1679649754098395,1827
1700021778914362,118
1689048074395642,43
1735116464916009211,17
1735116464916009762,4
1682318467753069,369
1683357403556004,3892
1682564235006992,3094
1688629774698652,66
1699936201904303,483
1735365593646764688,13
1725312458689613884,50
1687169003052953,7558
1694683031084171,13815
1694739420573625,28
1735365593646764687,1
1693326377794643,360
1680515059186956,2279
1735116464916009755,1
1691463631379641,1122
1692111986347368,384675
1688958545989620,1959
1699409914372936,4947
1735365593646764686,1
1728712324971238007,1
1696767338639893,498
1690181704653991,9
1699870433155544,6682
1679552524934064,120173
1681715135012995,212993
1695374874013935,313607
1680529119668606,685
1687187508240934,15
1725213007488749788,2948
1686117275475214,8811
1681796058477776,110
1728712324971237662,142
1735116464916009776,1
1689574043125147,9974
1693312215961358,55
1735365593646764695,5
1683615958915462,3780
1735365593646764702,1
1680869271326750,2052
1735365593646764336,23
1695646332828065,5
1696684641751832,111
1698819637475783,6
1735365593646764698,1
1695207934484175,997
1693311505143048,1098
1685243402140925,129
1686138819444445,97
1735365593646764703,1
1694159898854257,163
1680157034020724,1177
1735365593646764560,18473
1725213007488750538,1142
1728712324971237525,2632
1689041923904971,247
1698825689638625,55
1735116464916009827,2
1691644882348742,1102
1693541528468611,4366
1687351950316329,611973
1681180496758701,4545
1698299595062679,128
1686642452111230,36
1698394984644063,5702821
1735116464916009816,4
1735365593646764036,115
1725213007488750397,2
1690611027120926,554
1735116464916009804,4
1735365593646764745,1
1735365593646764761,2
1735116464916009807,2
1696853829445521,2
1697008696661521,2
1692259037552469,133
1735365593646764472,54
1693467111063921,4835
1696755359643087,52
1687663402615165,410
1735365593646764326,1034302
1735116464916009088,19
1735365593646764754,1
1735365593646764737,2
1686833677365459,243
1725312458689614151,61
1735116464916009808,4
1687269076475909,84
1695102906147252,573
1735365593646764643,59
1735116464916009825,1
1684897024872172,29
1735116464916009806,2
1689737257014503,53
1696058837016426,1
1680323155864269,36
1729339214534807632,24552
1681465288226692,791
1728712324971237917,3
1692339237496541,23
1686736670459291,463
1693459136418719,16
1735116464916009832,2
1728712324971237953,1195
1693495208179887,44
