npc_id,count
113665782284461,1
80013951152242,8
132569405419588,3
153983307952244,183
117187765612655,35
128359314899038,67
158262860259467,38
145880139919562,289
157775002013859,5415
99165392134282,63
153900134646016,237
139369477980420,81
156062488416709,2014
137347775770793,21
155619562623060,5863
110112025608410,4
141168150200491,1
155459763970255,223
143762487857440,5707
158495899152449,4
151425145061659,393
152903214153824,42
149089309749539,1959
129130177622122,28
142108124479834,19
91866040512674,5
103735119343776,81
157531222692151,459
58142474023021,260
158370118021582,6121
108378212016192,234
156830853828926,359
143673358225646,11
158189858181251,1256
153305974988879,2373
130703717138599,56
120738129289306,31
141934730600668,942
144047766061278,1170
113658775335092,181
143573136707914,606
99148999458995,54
128853726785671,1124
141302632886564,198
93458705727776,14
109634180341833,38
136497787400328,163
146472119034108,24
77153876177184,28
143434685276440,1
138439279587557,5
118397828206809,1
146037448945742,2
139040151433305,3
83877175513262,445
136559870697545,345
119660703703215,807
135400581296364,161
123129743011933,10
99244,642
136960799355249,160
137343621275720,2
156092945989699,163
151084465910122,189
119015375356041,64
156090486059245,7
84061,66
122759560642784,49
130994316214445,15
146215201648978,5
151469460955380,270
155679052587257,154
155767055945884,2
159842142777492,392
156092832870522,108
125691555123288,3
143686291951811,56
134827442741336,369
107263925149852,41
147271444676877,165
67120036012314,17
95916838908078,87
101946021163194,9
122087613296812,28
150002111824112,58
132723558887496,9
77462714728763,65
133096784875713,10
116149345767565,20
133704078954600,18
108187118248186,7
121343981605069,265
109738422800454,1
114539120537756,1
113334923198687,123
82721350623350,37
110137335009434,103
144078789874044,6
120348657033360,264
98742840447110,163
109436909994211,1
130153035276456,71
137714180452481,135
109036072988782,8
91230644273245,61
125396674486478,9
150673985716567,82
139396424810804,12
126042079649888,14
67794410582136,8
112929532854402,9
148983683272883,5
60811641352496,11
91649334595875,688
135516708233363,5
91941620908317,189
90361200869501,4
151478937464908,3
153820599324976,6
87517558112377,104
135058161258733,7
109773773955241,4
147571400888668,4
61363718676557,39
143723760275634,72
97686327820431,57
153995330683189,76
114138445971628,5
87442730762500,34
111838126690459,18
134204772102259,1
154027411198021,27
154371897745536,2706
132414206824568,38
75010560381228,2
105160498835535,7
118888083509406,27
144004121243872,18
98761428987993,95
141127587955058,207
144573357117542,407
131639750779088,7
121669956849786,1
137683293520088,50
107860553765033,118
128826294730838,5
123887571742856,39
157742136299668,61
141299962745181,38
135216781385901,1
110400779944048,42
157843760435474,50
151381925163105,102
84307817492636,12
111012666400968,14
143001000419518,27
114714017059024,6
127478721503321,2
122195864146035,1
113578265936090,40
135188685877484,255
86984240611512,385
90318645956751,69
133788047073414,252
147672065470775,6
123205584875602,48
156792415432979,1442
107269003796585,79
136636028461274,25
120367997227184,439
140582791094370,72
138774678684030,16
157879037468982,16
12838,160
143372319502707,75
140200202531129,30
80386,5
154699357548794,128
55145115365464,13
107167063507161,40
147989554675784,22
103784211923105,2
146030925201561,280
91774432862321,66
80677883826433,150
106642034659444,90
155359240552565,67
140087252127996,330
122460668891234,330
135132445683825,13
64379846377742,1
156052742807791,54
53484903039111,3
128026650423489,1
155993116406227,36
147939543978310,489
135425650057356,11
153560820490444,372
122498422468712,4
71150456230020,16
85389756911761,4
155383033716975,39
81650990141708,33
105433907744910,8
146201953968292,4
106387531485310,3
152715517776086,2
107504617722090,34
146061387706453,2
98160893632597,69
108360017752158,10
114495749972157,2
114012406341831,27
117776843141237,63
72976080634131,45
141377962000731,245
135255453864177,33
134433669169230,9
154315322622142,293
127434749726877,9
108039813103720,47
135883563237566,6
79297295102081,49
102491438010457,209
119292124360938,33
77899596484866,14
77890556678420,3
144780053844060,547
79306686472285,7
105215564787841,48
138740209664149,193
84641583407278,3
149378224853229,6
65990193713253,26
65248553074771,656
137040595321026,1
159172264906962,67
98704415228000,72
143372122370330,3
74685605130320,31
135640817574032,5
151059525177666,10
86645575921773,28
143785201770621,124
154342124904565,15
71302,42
139860769079610,5
116845951459438,19
151066239795466,24
143619583909973,120
133517213241480,159
151179452895419,10
135427008708772,3
108246314729556,141
148961520857208,470
133476950655176,1
115945193934946,3
61484289364057,8
113324572033274,20
140886133424503,92
149665056010519,5
114711744053466,18
141162404565192,13
139310636179714,1
106625210822738,69
125592457896180,7
136192554811511,1
140971174465819,4
135926438482071,106
93367852327220,4
143007007162750,34
147618022699164,2
154272725000289,26
95287148052558,46
111375288991966,7
131321027145858,32
105875557175484,29
156426572595666,194
85343048401038,21
118308942090304,1
119248412225685,5
90519667196213,65
146190870630583,28
148377878327582,52
89065567920311,9
94468761555234,1
156028936831089,123
72686312091735,26
122148906954818,3
108375647445210,28
150330549309596,4
140866592706814,16
157662282822106,24
111194956152918,201
98946119266403,20
125336013299929,1
59176285565024,116
155718664003781,88
156390167253448,196
132828086989040,19
118289554641063,24
132270767095929,2
66418099286301,7
97944169292035,193
134174850842791,6
139845269221614,15
120814414028921,20
110148201853074,8
153552889241848,251
157135188197483,10
111547720835179,127
114433531875560,14
79243385704622,79
110823595540714,69
144721173983320,80
139556289474669,4
98784499458199,30
149369612202269,3
145102305751121,7
94062678397009,23
77942854668597,44
152292735782992,86
110373717201037,1
61077601960037,41
119309242466383,24
122153219129579,226
143735500656786,9
139169369243832,9
104028450009262,106
102019332493385,13
139447001092450,15
140543245381763,7
125644148195401,13
148703425847485,27
35384,7
156360970895835,455
147988147077416,46
115264955367491,1
153804534763611,3
155768058134647,5
147563204866399,24
69588554449080,14
84794023350414,4
69398733107515,51
133786630152265,13
122818679644316,8
135523595403365,99
108299784372469,5
87604761788568,74
113928672153775,122
86958860554364,21
141216738336835,16
115837158133966,5
138807494812027,14
66908474618126,40
152941055398224,3
153205256200347,10
90606520082530,48
109645351440577,8
128442852827254,13
128780342087904,5
99774055547030,2
144083521438067,5
98400010404111,118
98795863924829,23
142667850924178,34
134486431424632,63
154794772779265,26
121459700551928,34
123918486593703,2
84202045505838,2
135544523600013,10
89594598314246,5
119157167267923,2
